r1,r2
2.4400531695254197,1.9834441286701756
2.557600027435078,2.0966869060999365
2.6750065087375323,2.334002796329728
2.7574504046426207,2.372704300334167
2.8252909049330803,2.4031571345851606
2.8916650527960392,2.3495345877727094
2.911191779573867,2.558849795844169
2.948893765047118,2.2402614008732553
3.0198875650858645,2.4115114118389807
3.1651147163241964,2.4115011231347614
3.3079032802678894,2.644787599861405
3.4528724319601047,3.0654802951545577
3.655955719932666,3.044686514418446
3.6829953903934793,3.1084947607060767
3.845968154212293,3.0750431523353003
3.95220373753212,3.386573895466866
4.127079715670736,3.4489642942664185
4.274094775614186,3.595994245325187
4.374181847943936,3.8123668494506626
4.452623703637608,3.838355395780988
4.494796381508263,3.5264829293459483
4.581427713464053,3.8297837851774252
4.758747275557108,4.118192514475731
4.883445148816439,4.444968435106691
5.052410227180085,4.2156015628349985
5.16854669130035,4.506854195684666
5.252305244620165,4.501934572437065
5.343260114793273,4.611105333459023
5.512992532433063,4.726817159286924
5.62838669244103,4.99733381407935
5.739864044431242,5.086275934015805
5.817159803666058,5.1876063680808855
5.860793899563095,5.083752284211726
5.928107208629201,4.993840256479262
5.954623556391812,5.437118177904576
6.074856756923174,5.147160642523507
6.168135582084805,5.304310408018778
6.296250135403186,5.558511477753011
6.412657319747365,5.720515742857203
6.42434549885926,5.63104455876727
6.485506281762064,5.411265978868085
6.532621984813118,5.431410554984515
6.535372176147487,5.6876298064624295
6.639323842638756,5.218377162987225
6.7386836661892575,5.697338854912047
6.804189747333693,6.34496259001944
6.823651841244735,6.1205009766281835
6.862812564744238,5.818326739144865
6.933334490310574,5.807485726828982
6.980104770899212,5.990950603527453
7.036975803030873,6.1788203701553295
7.055757554626214,6.118276132002516
7.055728254976561,5.893069552925003
7.0721595611113885,5.637970945435516
7.123009378722758,6.440674673670895
7.130009823187471,6.229408763485806
7.163197441761371,5.976502067884557
7.180474045244891,6.0781523070017025
7.2240902426364375,6.385577450929265
7.229538778382274,6.253723284963172
7.264978184588975,5.874395941807805
7.273785081863286,6.314262875957273
7.262262864604978,6.19571626733232
7.2935832717721665,6.078145366700571
7.37035134392626,6.083582420866062
7.433128316349738,6.70992418721535
7.462504425585761,6.686752268561246
7.4610132518166985,6.4469139397120605
7.475737065407827,6.322835026068823
7.469948295105519,6.305701370924155
7.471666322082319,6.601384017357007
7.5025307869587206,6.443956897797571
7.539174911712731,6.458289965522616
7.566495107953602,6.477743235110447
7.58952088196476,6.924247897232051
7.593829558325082,6.606654031869348
7.615584443862641,6.638179298414263
7.630084384530108,6.4441594182983115
7.676764711944979,6.92265962323703
7.702708735872025,6.736182023106736
7.720218017525511,6.773380512493161
7.753627919818698,7.0095224423986675
7.778283571226323,6.864041812194105
7.831107003402259,7.143891078393946
7.835591753020772,7.089867899020275
7.816737852488746,7.01175950209065
7.8313570564548325,6.6988351958969705
7.84746532390223,6.833979355399234
7.859375524880382,7.203377536178604
7.858433095804776,6.766786421596187
7.871406338772647,6.75002755733345
7.9125414972314,6.773240629546975
7.943473152575783,7.272339765746047
7.969050256834144,7.1508301459171175
8.008694571812855,6.937959734398851
8.032115265999415,7.247778503263136
8.067476164090175,7.230515243466881
8.08850122943311,7.104276442703093
8.09372772941364,7.216051981554276
8.094599015671829,7.130776628599888
8.123929713828833,6.888235188436562
8.145230642152656,7.197911950237682
8.172985831773277,7.217640973112911
8.210558986615206,7.463064238053114
8.235550488389471,7.488950209794251
8.26352463772324,7.452383025760977
8.299956579638051,7.288704296171741
8.310646165615697,7.462515279284975
8.339090247128096,7.432593851168504
8.376094408285029,7.511467659477745
8.402096456968478,7.603314625369353
8.421020350697447,7.800317822611473
8.440656408110089,7.465256882647311
8.454726368737116,7.739716039930553
8.461648506844885,7.442866955344067
8.488921735424473,7.537445896269238
8.510945763425145,7.77629763827648
8.516970937034817,7.6951478066412875
8.539298056321556,7.768847369720912
8.565634460943874,7.854919802802882
8.584786754666515,7.53356551227731
8.60822905085648,7.773762336717819
8.629515800066377,7.824573175788619
8.648377957177544,7.824362416763962
8.68303648632064,8.006166878262597
8.693658993598136,7.906346202088617
8.691828659182992,7.865821260830271
8.70774629927708,7.829684625126372
8.727125122135812,7.83361814067682
8.743166247289228,8.083069553570548
8.749263646338873,7.9260217547306135
8.748449526055625,7.85545454038063
8.766797038307068,7.983127938411149
8.779104867374413,8.108307258586708
8.79050271623201,7.999053943732995
8.826878706974872,8.124432071055596
8.832344469190666,8.183136746786882
8.850761132782392,7.8737304600887255
8.846738476024594,8.186932007279228
8.84941445981143,7.880216757584728
8.858822154483304,8.128325109242747
8.871602177634138,8.311886751330105
8.88337283071896,8.110351149759461
8.89353892179698,7.7751124615233635
8.904301732709238,8.050816994229878
8.91569855155879,7.901070582956417
8.89727307782334,8.097312405320249
8.910200152708503,7.8513489255008615
8.91826446277074,7.753119983926709
8.929795683589827,7.9388312880823015
8.946739349771478,8.132012600604574
8.970956010822206,8.17169146037501
8.99034050770502,8.03252180451366
8.995650219981924,8.009712368549277
9.001756673720909,8.302117209217489
9.008423138204785,8.186225188273495
8.99335040915385,8.308644777273106
9.00507708386513,7.818024928636686
9.016200720894975,7.845639935757433
9.023187058877914,8.230796207541443
9.045776104487027,8.330936606979757
9.05526844210907,8.32612150871919
9.064437732636284,8.042752341621167
9.076295299245357,8.11430754026797
9.086645995781971,8.278508400010988
9.102755777636009,8.393665147699222
9.107207623154938,8.32670888808322
9.117344707707096,8.152677284694194
9.120124548437357,8.352445742445962
9.110775447768084,8.620937268766957
9.116742227311551,7.941037542597194
9.116563486742486,8.412870074046136
9.123951163742726,7.84056719972624
9.132302189864312,8.390462257202074
9.150203415008324,8.302070489142888
9.160125456206357,8.047013203614242
9.169802560350892,8.473728917280607
9.189753596585536,8.614051330562418
9.209257858509815,8.692339474238507
9.213293820127694,8.77495317914398
9.216251432536966,8.411625688847469
9.219625054278362,8.433733114121086
9.237333842708,8.311254651905987
9.23676650252782,8.574697839918116
9.246210261009246,8.188547007792183
